epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.40231,2.23963,0,0.5,2.30709,1.538e-05,1.538e-05,1.538e-05
2,4.75982,2.23721,0.08333,0.41667,2.29632,3.84119e-05,3.84119e-05,3.84119e-05
3,7.04211,2.22949,0,0.66667,2.23999,6.13982e-05,6.13982e-05,6.13982e-05
4,9.71838,2.0817,0.08333,0.66667,2.11277,8.43388e-05,8.43388e-05,8.43388e-05
5,13.1599,1.82914,0.16667,0.66667,1.92055,0.000107234,0.000107234,0.000107234
6,16.1968,1.64358,0.5,0.91667,1.72595,0.000130083,0.000130083,0.000130083
7,19.4919,1.60596,0.58333,1,1.50016,0.000152886,0.000152886,0.000152886
8,23.0083,1.48047,0.58333,1,1.36309,0.000175644,0.000175644,0.000175644
9,26.4695,1.2989,0.66667,1,1.167,0.000198356,0.000198356,0.000198356
10,29.3562,1.16638,0.75,1,1.02947,0.000221023,0.000221023,0.000221023
11,32.1738,1.0021,0.83333,1,0.84181,0.000243644,0.000243644,0.000243644
12,34.8156,0.91095,0.91667,1,0.71979,0.000266219,0.000266219,0.000266219
13,37.6684,1.01252,0.91667,1,0.58688,0.000288748,0.000288748,0.000288748
14,40.0465,0.71057,0.91667,1,0.49444,0.000311232,0.000311232,0.000311232
15,43.0376,0.43352,0.91667,1,0.37915,0.00033367,0.00033367,0.00033367
16,46.0898,0.3459,0.91667,1,0.33079,0.000356063,0.000356063,0.000356063
17,48.8842,0.27095,0.83333,1,0.28262,0.00037841,0.00037841,0.00037841
18,51.979,0.23384,0.91667,1,0.25858,0.000400711,0.000400711,0.000400711
19,55.9284,0.4349,1,1,0.20893,0.000422966,0.000422966,0.000422966
20,59.863,0.3762,1,1,0.14448,0.000445176,0.000445176,0.000445176
21,62.8957,0.36546,1,1,0.0995,0.00046734,0.00046734,0.00046734
22,65.8592,0.52432,1,1,0.08093,0.000489458,0.000489458,0.000489458
23,69.2507,0.23727,1,1,0.06751,0.000511531,0.000511531,0.000511531
24,72.5425,0.2565,1,1,0.04636,0.000533558,0.000533558,0.000533558
25,75.4458,0.17731,1,1,0.05093,0.000555539,0.000555539,0.000555539
26,78.6721,0.1052,1,1,0.06467,0.000577475,0.000577475,0.000577475
27,81.1924,0.11228,1,1,0.09293,0.000599365,0.000599365,0.000599365
28,83.6738,0.17849,0.91667,1,0.12739,0.000621209,0.000621209,0.000621209
29,86.0595,0.28226,0.91667,1,0.12739,0.000643008,0.000643008,0.000643008
30,88.7743,0.17718,1,1,0.07878,0.000664761,0.000664761,0.000664761
31,92.982,0.72653,1,1,0.08298,0.000686468,0.000686468,0.000686468
32,95.8432,0.06523,0.91667,1,0.12803,0.000708129,0.000708129,0.000708129
33,98.7908,0.51599,0.91667,1,0.12803,0.000729745,0.000729745,0.000729745
34,101.501,0.0715,0.91667,1,0.12583,0.000743877,0.000743877,0.000743877
35,103.861,0.34876,0.91667,1,0.12024,0.000743115,0.000743115,0.000743115
36,106.501,0.66398,1,1,0.11425,0.000742354,0.000742354,0.000742354
37,109.294,0.09033,1,1,0.11425,0.000741593,0.000741593,0.000741593
38,112.239,0.22982,1,1,0.11937,0.000740832,0.000740832,0.000740832
39,114.978,0.10638,0.91667,1,0.1111,0.00074007,0.00074007,0.00074007
40,117.399,0.16734,1,1,0.07678,0.000739309,0.000739309,0.000739309
41,119.97,0.03387,1,1,0.07678,0.000738548,0.000738548,0.000738548
42,122.596,0.42621,1,1,0.07765,0.000737786,0.000737786,0.000737786
43,126.69,0.23368,1,1,0.09238,0.000737025,0.000737025,0.000737025
44,129.476,0.57027,0.91667,1,0.10012,0.000736264,0.000736264,0.000736264
45,132.401,0.05698,0.91667,1,0.10012,0.000735502,0.000735502,0.000735502
46,135.21,0.35153,0.91667,1,0.19353,0.000734741,0.000734741,0.000734741
47,137.772,0.13627,0.91667,1,0.28174,0.00073398,0.00073398,0.00073398
48,140.344,0.06812,0.91667,1,0.27862,0.000733218,0.000733218,0.000733218
49,143.047,0.33129,0.91667,1,0.27862,0.000732457,0.000732457,0.000732457
50,146.292,0.07253,1,1,0.01654,0.000731696,0.000731696,0.000731696
51,149.07,0.05208,1,1,0.01067,0.000730935,0.000730935,0.000730935
52,151.974,0.1082,1,1,0.00741,0.000730173,0.000730173,0.000730173
53,154.807,0.17015,1,1,0.00741,0.000729412,0.000729412,0.000729412
54,157.612,0.07213,1,1,0.01036,0.000728651,0.000728651,0.000728651
55,161.845,0.14131,1,1,0.01005,0.000727889,0.000727889,0.000727889
56,164.48,0.03631,1,1,0.01031,0.000727128,0.000727128,0.000727128
57,167.327,0.21963,1,1,0.01031,0.000726367,0.000726367,0.000726367
58,170.21,0.05393,1,1,0.00964,0.000725605,0.000725605,0.000725605
59,173.13,0.06963,1,1,0.00644,0.000724844,0.000724844,0.000724844
60,175.826,0.21005,1,1,0.00629,0.000724083,0.000724083,0.000724083
61,178.557,0.03433,1,1,0.00629,0.000723321,0.000723321,0.000723321
62,181.592,0.08201,1,1,0.01259,0.00072256,0.00072256,0.00072256
63,184.239,0.06797,1,1,0.01359,0.000721799,0.000721799,0.000721799
64,187.444,0.04643,1,1,0.01334,0.000721037,0.000721037,0.000721037
65,190.531,0.15054,1,1,0.01334,0.000720276,0.000720276,0.000720276
66,194.429,0.07306,1,1,0.00743,0.000719515,0.000719515,0.000719515
67,196.949,0.3636,1,1,0.00409,0.000718754,0.000718754,0.000718754
68,199.622,0.38898,1,1,0.00173,0.000717992,0.000717992,0.000717992
69,202.602,0.01135,1,1,0.00173,0.000717231,0.000717231,0.000717231
70,205.446,0.04021,1,1,0.03269,0.00071647,0.00071647,0.00071647
71,207.829,0.01062,1,1,0.04804,0.000715708,0.000715708,0.000715708
72,210.162,0.24917,1,1,0.00282,0.000714947,0.000714947,0.000714947
73,212.476,0.1489,1,1,0.00282,0.000714186,0.000714186,0.000714186
74,215.39,0.17948,1,1,0.00218,0.000713424,0.000713424,0.000713424
75,218.501,0.72993,1,1,0.00493,0.000712663,0.000712663,0.000712663
76,220.976,0.12948,1,1,0.00718,0.000711902,0.000711902,0.000711902
77,223.434,0.2234,1,1,0.00718,0.00071114,0.00071114,0.00071114
78,227.678,0.03422,1,1,0.02049,0.000710379,0.000710379,0.000710379
79,230.436,0.17712,1,1,0.02458,0.000709618,0.000709618,0.000709618
80,233.364,0.11262,1,1,0.03243,0.000708857,0.000708857,0.000708857
81,236.034,0.46672,1,1,0.03243,0.000708095,0.000708095,0.000708095
82,239.648,0.22986,1,1,0.04582,0.000707334,0.000707334,0.000707334
83,242.341,0.11932,1,1,0.04333,0.000706573,0.000706573,0.000706573
84,245.406,0.27226,1,1,0.03432,0.000705811,0.000705811,0.000705811
85,248.778,0.06966,1,1,0.03432,0.00070505,0.00070505,0.00070505
86,251.712,0.66467,1,1,0.04056,0.000704289,0.000704289,0.000704289
87,255.799,0.46194,1,1,0.03147,0.000703527,0.000703527,0.000703527
88,261.772,0.29641,1,1,0.02762,0.000702766,0.000702766,0.000702766
89,264.949,0.08324,1,1,0.02762,0.000702005,0.000702005,0.000702005
90,269.463,0.3563,1,1,0.03031,0.000701243,0.000701243,0.000701243
91,276.911,0.15148,1,1,0.06886,0.000700482,0.000700482,0.000700482
92,282.856,0.10556,0.91667,1,0.14923,0.000699721,0.000699721,0.000699721
93,288.768,0.60535,0.91667,1,0.14923,0.000698959,0.000698959,0.000698959
94,297.74,0.34261,0.83333,1,0.41543,0.000698198,0.000698198,0.000698198
95,302.705,0.29346,1,1,0.13398,0.000697437,0.000697437,0.000697437
96,308.922,0.08902,1,1,0.07538,0.000696676,0.000696676,0.000696676
97,315.343,0.18911,1,1,0.07538,0.000695914,0.000695914,0.000695914
98,321.563,0.0426,1,1,0.08926,0.000695153,0.000695153,0.000695153
