epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.14069,0,13.9743,0,0,0,0,0,0,15.7319,0,0,0,0
2,2.08961,0,13.9579,0,0,0,0,0,0,15.7298,0,1.12625e-05,1.12625e-05,1.12625e-05
3,3.21832,0,13.9642,0,0,0,0,0,0,15.7271,0,2.005e-05,2.005e-05,2.005e-05
4,4.10433,0,13.922,0,0,0,0,0,0,15.7239,0,2.63625e-05,2.63625e-05,2.63625e-05
5,5.20523,0,13.8793,0,0,0,0,0,0,15.7207,0,3.02e-05,3.02e-05,3.02e-05
6,6.80848,0,13.8303,0,0,0,0,0,0,15.717,0,3.15625e-05,3.15625e-05,3.15625e-05
7,8.4339,0,13.8369,0,0,0,0,0,0,15.7141,0,3.045e-05,3.045e-05,3.045e-05
8,10.034,0,13.7681,0,0,0,0,0,0,15.7111,0,2.68625e-05,2.68625e-05,2.68625e-05
9,11.661,0,13.7464,0,0,0,0,0,0,15.7092,0,2.08e-05,2.08e-05,2.08e-05
10,13.3974,0,13.7454,0,0,0,0,0,0,15.7076,0,1.22625e-05,1.22625e-05,1.22625e-05
